1	1	200.000 	0.000 	0.000 
1	2	199.144 	0.114 	0.000 
1	3	196.592 	0.436 	0.000 
1	4	192.388 	0.926 	0.000 
1	5	186.602 	1.540 	0.000 
1	6	179.336 	2.254 	0.000 
1	7	170.710 	3.044 	0.000 
1	8	160.876 	3.890 	0.000 
1	9	150.000 	4.768 	0.000 
1	10	138.268 	5.646 	0.000 
1	11	125.882 	6.494 	0.000 
1	12	113.052 	7.276 	0.000 
1	13	100.000 	7.956 	0.000 
1	14	86.948 	8.496 	0.000 
1	15	74.118 	8.862 	0.000 
1	16	67.856 	8.968 	0.000 
1	17	61.732 	9.018 	0.000 
1	18	55.772 	9.008 	0.000 
1	19	50.000 	8.932 	0.000 
1	20	44.442 	8.794 	0.000 
1	21	39.124 	8.590 	0.000 
1	22	34.066 	8.322 	0.000 
1	23	29.290 	7.988 	0.000 
1	24	24.816 	7.590 	0.000 
1	25	20.664 	7.128 	0.000 
1	26	16.854 	6.610 	0.000 
1	27	13.398 	6.046 	0.000 
1	28	10.312 	5.440 	0.000 
1	29	7.612 	4.790 	0.000 
1	30	5.306 	4.078 	0.000 
1	31	3.408 	3.292 	0.000 
1	32	1.922 	2.428 	0.000 
1	33	0.856 	1.534 	0.000 
1	34	0.214 	0.698 	0.000 
1	35	0.000 	0.000 	0.000 
1	36	0.214 	-0.698 	0.000 
1	37	0.856 	-1.534 	0.000 
1	38	1.922 	-2.428 	0.000 
1	39	3.408 	-3.292 	0.000 
1	40	5.306 	-4.078 	0.000 
1	41	7.612 	-4.790 	0.000 
1	42	10.312 	-5.440 	0.000 
1	43	13.398 	-6.046 	0.000 
1	44	16.854 	-6.610 	0.000 
1	45	20.664 	-7.128 	0.000 
1	46	24.816 	-7.590 	0.000 
1	47	29.290 	-7.988 	0.000 
1	48	34.066 	-8.322 	0.000 
1	49	39.124 	-8.590 	0.000 
1	50	44.442 	-8.794 	0.000 
1	51	50.000 	-8.932 	0.000 
1	52	55.772 	-9.008 	0.000 
1	53	61.732 	-9.018 	0.000 
1	54	67.856 	-8.968 	0.000 
1	55	74.118 	-8.862 	0.000 
1	56	86.948 	-8.496 	0.000 
1	57	100.000 	-7.956 	0.000 
1	58	113.052 	-7.276 	0.000 
1	59	125.882 	-6.494 	0.000 
1	60	138.268 	-5.646 	0.000 
1	61	150.000 	-4.768 	0.000 
1	62	160.876 	-3.890 	0.000 
1	63	170.710 	-3.044 	0.000 
1	64	179.336 	-2.254 	0.000 
1	65	186.602 	-1.540 	0.000 
1	66	192.388 	-0.926 	0.000 
1	67	196.592 	-0.436 	0.000 
1	68	199.144 	-0.114 	0.000 
1	69	200.000 	0.000 	0.000 
