1	1	1.000000 	0.000000 
1	2	0.995720 	0.000570 
1	3	0.982960 	0.002180 
1	4	0.961940 	0.004630 
1	5	0.933010 	0.007700 
1	6	0.896680 	0.011270 
1	7	0.853550 	0.015220 
1	8	0.804380 	0.019450 
1	9	0.750000 	0.023840 
1	10	0.691340 	0.028230 
1	11	0.629410 	0.032470 
1	12	0.565260 	0.036380 
1	13	0.500000 	0.039780 
1	14	0.434740 	0.042480 
1	15	0.370590 	0.044310 
1	16	0.339280 	0.044840 
1	17	0.308660 	0.045090 
1	18	0.278860 	0.045040 
1	19	0.250000 	0.044660 
1	20	0.222210 	0.043970 
1	21	0.195620 	0.042950 
1	22	0.170330 	0.041610 
1	23	0.146450 	0.039940 
1	24	0.124080 	0.037950 
1	25	0.103320 	0.035640 
1	26	0.084270 	0.033050 
1	27	0.066990 	0.030230 
1	28	0.051560 	0.027200 
1	29	0.038060 	0.023950 
1	30	0.026530 	0.020390 
1	31	0.017040 	0.016460 
1	32	0.009610 	0.012140 
1	33	0.004280 	0.007670 
1	34	0.001070 	0.003490 
1	35	0.000000 	0.000000 
1	36	0.001070 	-0.003490 
1	37	0.004280 	-0.007670 
1	38	0.009610 	-0.012140 
1	39	0.017040 	-0.016460 
1	40	0.026530 	-0.020390 
1	41	0.038060 	-0.023950 
1	42	0.051560 	-0.027200 
1	43	0.066990 	-0.030230 
1	44	0.084270 	-0.033050 
1	45	0.103320 	-0.035640 
1	46	0.124080 	-0.037950 
1	47	0.146450 	-0.039940 
1	48	0.170330 	-0.041610 
1	49	0.195620 	-0.042950 
1	50	0.222210 	-0.043970 
1	51	0.250000 	-0.044660 
1	52	0.278860 	-0.045040 
1	53	0.308660 	-0.045090 
1	54	0.339280 	-0.044840 
1	55	0.370590 	-0.044310 
1	56	0.434740 	-0.042480 
1	57	0.500000 	-0.039780 
1	58	0.565260 	-0.036380 
1	59	0.629410 	-0.032470 
1	60	0.691340 	-0.028230 
1	61	0.750000 	-0.023840 
1	62	0.804380 	-0.019450 
1	63	0.853550 	-0.015220 
1	64	0.896680 	-0.011270 
1	65	0.933010 	-0.007700 
1	66	0.961940 	-0.004630 
1	67	0.982960 	-0.002180 
1	68	0.995720 	-0.000570 
1	69	1.000000 	0.000000 
